date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range
2020-02-02,HOU,Houston (Hobby),71.6,48.1,58.1,1021.0,10.4,220,20.4,0.0,0.0,57,42.2,30,9.634211111111112,0,1,0,0,-3.2000000000000455,23.499999999999993
2020-02-03,HOU,Houston (Hobby),73.0,56.1,65.1,1013.4,21.5,178,38.0,0.063,0.063,80,58.7,80,4.0557,0,1,0,0,-7.600000000000023,16.9
2020-02-04,HOU,Houston (Hobby),77.5,66.0,70.7,1008.9,17.6,187,31.8,0.114,0.114,85,65.9,97,7.733275,0,1,0,0,-4.5,11.5
2020-02-05,HOU,Houston (Hobby),67.6,44.4,51.8,1007.6,15.9,336,39.6,0.429,0.429,85,47.4,98,3.247119444444444,1,0,0,0,-1.2999999999999545,23.199999999999996
2020-02-06,HOU,Houston (Hobby),50.4,36.6,42.5,1010.3,17.5,308,34.2,0.138,0.138,59,27.8,45,9.666541666666667,0,0,0,1,2.699999999999932,13.799999999999997
2020-02-07,HOU,Houston (Hobby),69.0,36.2,52.6,1013.8,15.3,209,28.0,0.0,0.0,58,37.6,4,10.1304,0,1,0,0,3.5,32.8
2020-02-08,HOU,Houston (Hobby),66.9,51.0,57.5,1020.9,10.7,90,21.0,0.02,0.02,85,52.7,39,9.141030555555556,0,0,1,0,7.100000000000023,15.900000000000006
2020-02-09,HOU,Houston (Hobby),72.8,59.8,66.6,1017.8,20.9,151,36.9,0.622,0.622,89,63.1,80,5.884316666666667,0,1,0,0,-3.1000000000000227,13.0
2020-02-10,HOU,Houston (Hobby),75.2,66.1,71.2,1013.9,18.2,178,33.1,0.161,0.161,92,68.6,96,2.468561111111111,0,1,0,0,-3.8999999999999773,9.100000000000009
2020-02-11,HOU,Houston (Hobby),60.3,51.7,56.4,1015.7,11.7,7,21.3,0.295,0.295,93,54.5,100,0.0,1,0,0,0,1.8000000000000682,8.599999999999994
2020-02-12,HOU,Houston (Hobby),67.2,51.7,59.0,1011.1,13.6,300,39.8,0.39,0.39,92,56.5,99,2.7875944444444443,0,0,0,1,-4.600000000000023,15.5
2020-02-13,HOU,Houston (Hobby),59.1,44.7,50.7,1021.1,16.0,359,30.0,0.0,0.0,72,41.4,25,10.299172222222222,1,0,0,0,10.0,14.399999999999999
2020-02-14,HOU,Houston (Hobby),57.9,38.7,47.4,1028.5,11.5,51,22.6,0.0,0.0,71,37.9,0,10.32806111111111,0,0,1,0,7.399999999999977,19.199999999999996
2020-02-15,HOU,Houston (Hobby),65.9,45.1,55.5,1023.8,10.9,101,20.6,0.0,0.0,77,48.4,78,6.394752777777778,0,0,1,0,-4.7000000000000455,20.800000000000004
2020-02-16,HOU,Houston (Hobby),72.3,56.0,63.7,1016.9,9.7,213,16.6,0.012,0.012,87,59.6,96,6.091758333333334,0,1,0,0,-6.899999999999977,16.299999999999997
2020-02-17,HOU,Houston (Hobby),76.7,59.1,67.8,1012.6,15.2,175,31.3,0.11,0.11,94,65.9,84,6.059427777777778,0,1,0,0,-4.2999999999999545,17.6
2020-02-18,HOU,Houston (Hobby),76.5,66.3,71.0,1015.0,11.2,158,20.8,0.039,0.039,91,68.0,93,4.569947222222223,0,1,0,0,2.3999999999999773,10.200000000000003
2020-02-19,HOU,Houston (Hobby),63.8,54.8,59.3,1021.5,11.9,32,21.0,0.283,0.283,91,56.7,100,0.0,1,0,0,0,6.5,9.0
2020-02-20,HOU,Houston (Hobby),54.5,46.9,50.7,1025.3,18.2,8,33.6,0.437,0.437,86,46.4,94,0.9863722222222222,1,0,0,0,3.7999999999999545,7.600000000000001
2020-02-21,HOU,Houston (Hobby),54.2,39.8,46.4,1035.0,16.0,17,31.3,0.0,0.0,58,32.1,16,10.53256388888889,1,0,0,0,9.700000000000045,14.400000000000006
2020-02-22,HOU,Houston (Hobby),60.5,39.5,49.3,1029.3,10.1,111,18.8,0.0,0.0,67,38.6,40,10.561777777777777,0,0,1,0,-5.7000000000000455,21.0
2020-02-23,HOU,Houston (Hobby),68.0,49.5,60.2,1019.3,14.6,149,26.8,0.063,0.063,80,54.0,98,1.0,0,1,0,0,-10.0,18.5
2020-02-24,HOU,Houston (Hobby),73.5,56.9,65.5,1010.5,13.8,226,26.2,0.606,0.606,78,58.0,94,3.373991666666667,0,0,0,1,-8.799999999999955,16.6
2020-02-25,HOU,Houston (Hobby),69.8,50.9,59.9,1012.3,16.1,338,28.4,0.0,0.0,69,49.3,41,10.650111111111112,1,0,0,0,1.7999999999999545,18.9
2020-02-26,HOU,Houston (Hobby),56.6,42.7,50.4,1025.9,23.4,331,42.3,0.0,0.0,44,29.0,53,10.679994444444445,1,0,0,0,13.600000000000136,13.899999999999999
2020-02-27,HOU,Houston (Hobby),55.1,32.3,44.8,1029.8,10.1,314,17.0,0.0,0.0,56,29.2,0,10.710061111111111,0,0,0,1,3.8999999999998636,22.800000000000004
2020-02-28,HOU,Houston (Hobby),67.4,41.1,52.7,1028.1,12.1,252,23.5,0.0,0.0,58,37.5,21,10.740283333333332,0,0,0,1,-1.7000000000000455,26.300000000000004
2020-02-29,HOU,Houston (Hobby),70.3,43.0,57.1,1025.2,14.7,182,26.8,0.0,0.0,71,47.2,53,10.770636111111111,0,1,0,0,-2.8999999999998636,27.299999999999997
2020-03-01,HOU,Houston (Hobby),71.2,62.3,66.3,1016.0,18.5,170,33.1,0.035,0.035,77,58.7,96,0.0,0,1,0,0,-9.200000000000045,8.900000000000006
2020-03-02,HOU,Houston (Hobby),77.6,65.1,69.4,1011.2,14.5,185,27.3,0.035,0.035,89,65.8,87,3.5702777777777777,0,1,0,0,-4.7999999999999545,12.5
2020-03-03,HOU,Houston (Hobby),76.2,66.8,70.1,1008.9,12.3,130,21.0,0.161,0.161,93,67.9,100,4.477452777777778,0,0,1,0,-2.300000000000068,9.400000000000006
2020-03-04,HOU,Houston (Hobby),77.8,58.0,68.6,1007.6,16.3,108,29.3,0.228,0.228,91,65.6,94,6.889022222222222,0,0,1,0,-1.2999999999999545,19.799999999999997
2020-03-05,HOU,Houston (Hobby),69.8,51.9,59.3,1020.7,15.2,343,28.0,0.0,0.0,69,48.2,63,9.89565,1,0,0,0,13.100000000000023,17.9
2020-03-06,HOU,Houston (Hobby),67.2,52.6,58.3,1029.7,11.6,23,22.8,0.0,0.0,48,38.2,59,10.935472222222222,1,0,0,0,9.0,14.600000000000001
2020-03-07,HOU,Houston (Hobby),59.7,47.9,54.2,1029.3,11.1,93,20.4,0.0,0.0,67,43.2,65,4.410030555555556,0,0,1,0,-0.40000000000009095,11.800000000000004
2020-03-08,HOU,Houston (Hobby),70.5,51.9,61.2,1026.1,15.5,126,28.6,0.0,0.0,75,52.6,68,8.79331111111111,0,0,1,0,-3.2000000000000455,18.6
2020-03-09,HOU,Houston (Hobby),73.0,60.5,66.2,1023.3,14.2,161,25.5,0.094,0.094,87,62.2,88,1.5385166666666665,0,1,0,0,-2.7999999999999545,12.5
